0a	0:AH;1:EY
1's	1:EY Z
1.	1:EY
2's	1:EY Z
2d.	21:IY
2m.	21:EH M
2s	1:EY Z
1aa	201:EY
2berg	10:AA B ER G
2chen	10:AA K AH N
6er	100:AA K AH N ER
2ker	10:AA K ER
2lborg	10:AO L B AO R G;10:AA L B AO R G
4urg	10:AE L B ER G
3en	10:AE L AH N;10:AA L AH N
3iyah	212:AA
3seth	10:AA L S EH TH
4meer	10:AA L S M IH R
3to	12:OW
2modt	10:AA M AH T
2ncor	12:AO R
2rdema	010:EH M AH
4vark	12:AA R K
8s	12:AA R K S
3gh	1:AA R G
3hus	21:UW S
3on	10:EH R AH N
5's	10:EH R AH N Z
5s	10:EH R AH N Z
6on	100:EH R AH N S AH N;100:AA R AH N S AH N
8's	100:EH R AH N S AH N Z;100:AA R AH N S AH N Z
3ti	12:IY
2se	1:AA S
4n	10:AA S AH N
1b	1:AE B;11:IY
2a	221:EY
3ba	010:AA B AH;100:AA B AH B AH
3cha	100:AE B AH K AH
4k	01:AE K
4o	102:OW
4us	100:AE B AH K AH S
3d	01:AA D
4aka	0100:AE D AH K AH
4i	010:AE D IY
5e	010:AE D IY
3ir	01:EH R
3lkin	010:AA L K IH N
4one	2010:OW N IY
7s	2010:OW N IY Z
5s	010:AA L OW Z
3ndon	010:AE N D AH N
7ed	010:AE N D AH N D
7ing	0100:AE N D AH N IH NG
7ment	0100:AE N D AH N M AH N T
bs	0100:AE N D AH N M AH N T S
7s	010:AE N D AH N Z
4to	010:AE N T OW
3rca	010:AA R K AH
4e	010:AA R IY
3scal	100:AE B AH S K AH L
4h	01:AE SH
5ed	01:AE SH T
4ia	010:EY ZH Y AH
3te	01:EY T
5d	010:EY T IH D
5ment	010:EY T M AH N T
9s	010:EY T M AH N T S
5s	01:EY T S
4ing	010:EY T IH NG
4toir	201:AA R
2ba	10:AE B AH
4do	010:AA D OW
4s	01:AA S
5i	010:AA S IY
4te	10:AA B EY T
5iello	00010:EH L OW
3e	10:AE B IY;01:EY
4nhaus	102:AW S
4tt	01:EH T
4ville	10:AE B V IH L
4y	10:AE B IY
5's	10:AE B IY Z
3ie	10:AE B IY
4tt	10:AE B IH T
3ot	10:AE B AH T
5stown	101:AW N
5t	10:AE B AH T
6's	10:AE B AH T S
6stown	101:AW N
4ud	01:UW D;01:AW D
3reviate	0102:EY T
ad	01020:EY T IH D
as	0102:EY T S
9ing	01020:EY T IH NG
aon	02010:EY SH AH N
cs	02010:EY SH AH N Z
4uzzese	0010:EY Z IY
3s	1:AE B Z
3y	10:AE B IY
2c	122:IY
3's	122:IY Z
3o	10:AE B K OW
4tek	102:EH K
3s	122:IY Z
2d	221:IY
3alla	210:AE L AH
7h	210:AE L AH
3el	12:EH L
5la	210:EH L AH
3icate	102:EY T
8d	1020:EY T IH D
8s	102:EY T S
7ing	1020:EY T IH NG
8on	2010:EY SH AH N
3nor	10:AE B D N ER
3o	10:AE B D OW
4llah	210:AA L AH
4men	010:OW M AH N;100:AE B D AH M AH N
5inal	0100:AA M AH N AH L
3uct	01:AH K T
6ed	010:AH K T IH D
7e	021:IY
8s	021:IY Z
6ing	010:AH K T IH NG
7on	010:AH K SH AH N
9s	010:AH K SH AH N Z
6or	010:AH K T ER
8s	010:AH K T ER Z
6s	01:AH K T S
4l	01:UW L
5aziz	0201:IY Z
5la	010:UW L AH
7h	210:AH L AH
2e	1:EY B
3d	01:EH D
4i	010:EH D IY
3e	01:IY
3l	10:EY B AH L
4a	010:EH L AH
5rd	100:AE B IH L ER D
4e	01:EH L
5s	01:EH L Z;102:IY Z
4l	10:EY B AH L
5a	010:EH L AH
4n	10:AE B IH L N
4ow	100:AE B AH L OW
4s	10:EY B AH L Z
5on	100:AE B IH L S AH N
3nd	10:AE B EH N D;01:EH N D
5roth	100:AE B IH N D R AO TH
3r	10:EY B ER
4crombie	2010:AA M B IY
4deen	102:IY N
4ford	100:EY B ER F ER D
4g	10:AE B ER G
4le	100:AE B ER AH L;10:AE B ER L
4min	100:AE B ER M IH N
4nathy	1020:AE TH IY
5ethy	1020:EH TH IY
4rant	010:EH R AH N T
6tion	2010:EY SH AH N
aal	20100:EY SH AH N AH L
as	2010:EY SH AH N Z
4t	10:AE B ER T
3t	01:EH T
4ted	010:EH T IH D
5ing	010:EH T IH NG
3x	10:EY B EH K S
3yance	010:EY AH N S
4ta	010:EY T AH
2hor	01:AO R
5red	01:AO R D
7nce	010:AO R AH N S
8t	010:AO R AH N T
5s	01:AO R Z
2iam	100:EY B IY AH M
5's	100:EY B IY AH M Z
3d	10:EY B IH D
4e	01:AY D
5d	010:AY D IH D
5s	01:AY D Z
4ing	010:AY D IH NG
4jan	001:AA N
3e	10:AE B IY
3gail	102:EY L
3la	010:IY L AH
4ene	102:IY N
4ities	0102:IY Z
6y	0102:IY
3mael	201:EY L
7s	201:EY L Z
3ngdon	100:AE B IH NG D AH N
5ton	100:AE B IH NG T AH N
3o	100:AA B IY OW
4la	2010:OW L AH
6's	2010:OW L AH Z
4med	0100:IY AH M EH D
3quiu	010:IH K Y UW
3tibi	2010:IY B IY
4z	10:AE B IH T S
2ject	10:AE B JH EH K T
2khazia	010:AA Z Y AH;010:AE Z Y AH
8n	0100:AA Z IY AH N;0100:AE Z IY AH N;010:AA Z Y AH N;010:AE Z Y AH N
9s	0100:AA Z IY AH N Z;0100:AE Z IY AH N Z
2late	21:EY T
5ion	210:EY SH AH N
4ze	01:EY Z
3e	10:EY B AH L
4-bodied	1010:AA D IY D
4d	10:EY B AH L D
4r	100:EY B AH L ER;10:EY B L ER
4s	10:EY B AH L Z
5t	10:EY B AH L S T;10:EY B L AH S T
3oom	01:UW M
3ution	010:UW SH AH N
8s	010:UW SH AH N Z
3y	10:EY B L IY
2negation	2010:EY SH AH N
4r	10:AE B N ER
4y	10:AE B N IY
3ormal	010:AO R M AH L
8ities	20100:AE L AH T IY Z
ay	20100:AE L AH T IY
8ly	0100:AO R M AH L IY
2o	10:AA B OW
3's	10:AA B OW Z
3ard	01:AO R D
3de	01:OW D
3halima	00010:IY M AH
3lish	010:AA L IH SH
7ed	010:AA L IH SH T
8s	0100:AA L IH SH IH Z
7ing	0100:AA L IH SH IH NG
5tion	2010:IH SH AH N
9ism	201020:IH Z AH M
bt	20100:IH SH AH N AH S T
cs	20100:IH SH AH N AH S T S
3minable	01000:AA M AH N AH B AH L
7tion	02010:EY SH AH N
bs	02010:EY SH AH N Z
3od	01:UW D
5i	010:UW D IY
3r	01:AO R
4iginal	20100:IH JH AH N AH L
8e	20100:IH JH AH N IY
9s	20100:IH JH AH N IY Z
4n	01:AO R N
4t	01:AO R T
5ed	010:AO R T IH D
5ifacient	02010:EY SH AH N T
ds	02010:EY SH AH N T S
6ng	010:AO R T IH NG
6on	010:AO R SH AH N
8ist	0100:AO R SH AH N IH S T
bs	0100:AO R SH AH N IH S T S
8s	010:AO R SH AH N Z
6ve	010:AO R T IH V
5s	01:AO R T S
3tt	01:AA T
3u	01:UW
4d	01:UW D
4halima	20010:IY M AH
a's	20010:IY M AH Z
4nd	01:AW N D
6ed	010:AW N D IH D
6ing	010:AW N D IH NG
6s	01:AW N D Z
4t	01:AW T
5's	01:AW T S
3ve	01:AH V
5's	01:AH V Z
5board	012:AO R D
2planalp	100:AE B P L AH N AE L P
2ra	10:AA B R AH
4cadabra	20010:AE B R AH
4de	01:EY D
6d	010:EY D IH D
6s	01:EY D Z
4ham	102:AE M
7ian	20100:EY M IY AH N
7s	102:AE M Z
8en	0010:AE M S AH N
8on	0100:AE HH AH M S AH N
4m	01:AE M
5's	10:EY B R AH M Z
5czyk	100:AA B R AH M CH IH K
5o	010:AA M OW
6vitz	0100:AA M AH V IH T S
6wicz	0100:AA M AH V IH CH
8tz	0100:AA M AH W IH T S
5s	10:EY B R AH M Z
6's	100:EY B R AH M Z IH Z
6on	100:EY B R AH M S AH N
4sion	010:EY ZH AH N
8s	010:EY ZH AH N Z
6ve	010:EY S IH V
8s	010:EY S IH V Z
4xa	010:AE K S AH
6's	010:AE K S AH Z
6s	010:AE K S AH Z
3east	01:EH S T
4go	010:EH G OW
4u	01:UW
3idge	01:IH JH
7d	01:IH JH D
7ment	010:IH JH M AH N T
7s	010:IH JH AH Z
6ing	010:IH JH IH NG
4l	01:IH L
3oad	01:AO D
4gate	102:EY T
8d	1020:EY T IH D
7ing	1020:EY T IH NG
8on	2010:EY SH AH N
4l	01:OW L
4n	01:AA N
3upt	01:AH P T
6ly	010:AH P T L IY
6ness	010:AH P T N AH S
4tyn	100:EY B R UW T IH N
4zzese	0010:EY Z IY
6o	010:UW Z OW
2s	111:EH S;1:AE B Z
3alom	100:AE B S AH L AH M
4raka	0100:AA R AH K AH
3cam	10:AE B S K AE M
4ess	12:EH S
4ond	01:AA N D
7ed	010:AA N D IH D
7ing	010:AA N D IH NG
7s	01:AA N D Z
3econ	100:AE B S AH K AO N
4nce	10:AE B S AH N S
7s	100:AE B S AH N S IH Z
5t	10:AE B S AH N T
6ee	201:IY
8ism	20100:IY IH Z AH M
8s	201:IY Z
6ia	010:EH N SH AH
3her	10:AE B SH ER
4ier	100:AE B SH IY ER
5re	12:AY R
3inthe	10:AE B S IH N TH
3o	10:AE B S OW
4lom	100:AE B S AH L AH M
5ut	201:UW T
7's	201:UW T S
7e	102:UW T
8ly	2010:UW T L IY
8ness	1020:UW T N AH S
8s	102:UW T S
7ion	2010:UW SH AH N
8sm	10220:IH Z AH M
9t	0010:UW T IH S T
5ve	01:AA L V
7d	01:AA L V D
7s	01:AA L V Z
6ing	010:AA L V IH NG
4rb	01:AO R B
6ed	01:AO R B D
7ncy	0100:AO R B AH N S IY
8t	010:AO R B AH N T
7r	010:AO R B ER
8s	010:AO R B ER Z
6ing	010:AO R B IH NG
6s	01:AO R B Z
5ption	010:AO R P SH AH N
3tain	01:EY N
7ed	01:EY N D
7ing	010:EY N IH NG
4ention	010:EH N CH AH N
as	010:EH N CH AH N Z
4inence	100:AE B S T AH N AH N S
8t	100:AE B S T AH N AH N T
4on	10:AE B S T AH N
4ract	01:AE K T;12:AE K T
8ed	120:AE K T IH D
8ion	010:AE K SH AH N
bs	010:AE K SH AH N Z
8s	10:AE B S T R AE K T S
5use	01:UW S
3urd	01:ER D
6ist	010:ER D IH S T
7ties	0100:ER D AH T IY Z
8y	0100:ER D AH T IY
6ly	010:ER D L IY
2t	1:AE B T;111:IY
3s	1:AE B T S;111:IY Z;1111:EH S
2u	10:AE B UW
3drahm	010:AH D R AH M
3ellah	010:EH L AH
8's	010:EH L AH Z
3ladze	2010:AE D Z IY
3ndance	010:AH N D AH N S
7t	010:AH N D AH N T
8ly	0100:AH N D AH N T L IY
3rto	012:OW
6's	012:OW Z
3se	01:UW S;01:UW Z
5d	01:UW Z D
5r	010:UW Z ER
6s	010:UW Z ER Z
5s	010:UW S IH Z;010:UW Z IH Z
4ing	010:UW Z IH NG
5ve	010:UW S IH V
3t	01:AH T
4s	01:AH T S
4ted	010:AH T IH D
5ing	010:AH T IH NG
3zz	01:AH Z
2ysmal	010:IH Z M AH L
7ly	0100:IH Z M AH L IY
4s	01:IH S
5inia	0120:IY AH
9n	0120:IY AH N
2zug	12:AH G;12:UH G
1c	11:IY
2a	10:AE K AH
3cia	010:EY SH AH
3deme	102:IY M
6ia	20100:IY M IY AH
7c	2010:EH M IH K
8ally	20100:EH M IH K L IY
8ian	20010:IH SH AH N
bs	20010:IH SH AH N Z;02010:IH SH AH N Z
8s	2010:EH M IH K S
7es	0100:AE D AH M IY Z
6y	0100:AE D AH M IY
7's	0100:AE D AH M IY Z
4ia	0100:EY D IY AH
3ena	010:IY N AH
3mpo	010:AA M P OW
6ra	0100:AE M P ER AH
5sia	010:AE M P S Y AH
3ntha	010:AA N DH AH
3pulco	2010:UH L K OW
3ry	100:AE K ER IY
2c	221:IY
3ardi	010:AA R D IY
6o	010:AA R D OW
3ede	01:IY D
6d	010:IY D IH D
6s	01:IY D Z
5ing	010:IY D IH NG
4l	01:EH L
5erant	0100:EH L ER AH N T
as	0100:EH L ER AH N T S
8te	0102:EY T
ad	01020:EY T IH D
as	0102:EY T S
9ing	01020:EY T IH NG
aon	22010:EY SH AH N
9or	01020:EY T ER
bs	01020:EY T ER Z
7ometer	020100:AA M AH T ER
ds	020100:AA M AH T ER Z
4nt	01:EH N T;12:EH N T
6ed	100:AE K S EH N T IH D
6ing	100:AE K S EH N T IH NG
6s	10:AE K S EH N T S
6uate	0100:EH N CH UW EY T
ad	01020:EY T IH D
as	0102:EY T S
9ing	01020:EY T IH NG
7re	010:EH N CH ER
4pt	01:EH P T
6ability	020100:IH L AH T IY
8le	0100:EH P T AH B AH L
9y	0100:EH P T AH B L IY
7nce	010:EH P T AH N S
as	0100:EH P T AH N S IH Z
6ed	010:EH P T IH D
6ing	010:EH P T IH NG
6s	01:EH P T S
4ss	12:EH S
6ed	12:EH S T
6ibility	200100:IH L IH T IY
8le	0100:EH S AH B AH L
7ng	120:EH S IH NG
7on	010:EH SH AH N
6ories	0100:EH S ER IY Z
9ze	0102:AY Z
bd	0102:AY Z D
8y	0100:EH S ER IY
4tta	010:EH T AH
3ident	100:AE K S AH D AH N T
8's	100:AE K S AH D AH N T S
8al	2010:EH N T AH L;2010:EH N AH L
aly	20100:EH N T AH L IY;20100:EH N AH L IY
8ly	1000:AE K S AH D AH N T L IY
8s	100:AE K S AH D AH N T S
4on	100:AE CH IY AH N
4val	102:AA L
3laim	01:EY M
7's	01:EY M Z
7ed	01:EY M D
7ing	010:EY M IH NG
7s	01:EY M Z
5mation	2010:EY SH AH N
4imate	102:EY T
9d	1020:EY T IH D
8ion	2010:EY SH AH N
3o	10:AE K OW
4keek	100:AE K OW K IY K
4la	010:OW L AH
6de	102:EY D
8s	102:EY D Z
4mando	0010:AA N D OW
5modate	0102:EY T
bd	01020:EY T IH D
bs	0102:EY T S
aing	01020:EY T IH NG
bon	02010:EY SH AH N
ds	02010:EY SH AH N Z
bve	01020:EY T IH V
5panied	0100:AH M P AH N IY D
as	0100:AH M P AH N IY Z
9ment	0100:AH M P N IH M AH N T;0100:AH M P N IY M AH N T
ds	0100:AH M P N IH M AH N T S;0100:AH M P N IY M AH N T S
9st	0100:AH M P AH N AH S T
8y	0100:AH M P AH N IY
9ing	01000:AH M P AH N IY IH NG
6li	210:AA M P L IY;010:AA M P L IY
8ce	010:AA M P L AH S
as	0100:AA M P L AH S AH Z
8sh	010:AA M P L IH SH
aed	010:AA M P L IH SH T
bs	0100:AA M P L IH SH IH Z
aing	0100:AA M P L IH SH IH NG
ament	0100:AA M P L IH SH M AH N T
es	0100:AA M P L IH SH M AH N T S
4r	12:AO R
5's	10:AE K ER Z
5d	01:AO R D
6's	01:AO R D Z
6ance	010:AO R D AH N S
